datetime,CFFEX.IC1905.open,CFFEX.IC1905.high,CFFEX.IC1905.low,CFFEX.IC1905.close,CFFEX.IC1905.volume,CFFEX.IC1905.open_oi,CFFEX.IC1905.close_oi
2019-03-29 09:30:00.000000000,5315.8,5325.6,5315.8,5319.8,20,3786,3771
2019-03-29 09:31:00.000000000,5319.8,5319.8,5314.6,5315.4,7,3771,3768
2019-03-29 09:32:00.000000000,5315.4,5315.4,5308.6,5313.0,24,3768,3759
2019-03-29 09:33:00.000000000,5313.0,5336.8,5313.0,5335.4,22,3759,3741
2019-03-29 09:34:00.000000000,5335.4,5335.4,5321.4,5328.8,30,3741,3734
2019-03-29 09:35:00.000000000,5328.8,5330.8,5325.4,5327.6,18,3734,3732
2019-03-29 09:36:00.000000000,5327.6,5328.4,5316.6,5316.6,12,3732,3735
2019-03-29 09:37:00.000000000,5316.6,5325.4,5316.6,5324.8,3,3735,3735
2019-03-29 09:38:00.000000000,5324.8,5324.8,5316.8,5316.8,7,3735,3731
2019-03-29 09:39:00.000000000,5316.8,5335.4,5315.6,5331.8,19,3731,3725
2019-03-29 09:40:00.000000000,5331.8,5332.8,5322.4,5332.2,43,3725,3685
2019-03-29 09:41:00.000000000,5332.2,5343.8,5328.0,5337.8,23,3685,3672
2019-03-29 09:42:00.000000000,5337.8,5341.0,5330.6,5332.6,45,3672,3633
2019-03-29 09:43:00.000000000,5332.6,5335.4,5330.0,5330.4,8,3633,3629
2019-03-29 09:44:00.000000000,5330.4,5330.4,5325.0,5327.4,7,3629,3627
2019-03-29 09:45:00.000000000,5327.4,5329.6,5326.0,5326.0,6,3627,3624
2019-03-29 09:46:00.000000000,5326.0,5329.8,5320.8,5320.8,4,3624,3624
2019-03-29 09:47:00.000000000,5320.8,5320.8,5317.2,5317.2,4,3624,3624
2019-03-29 09:48:00.000000000,5317.2,5317.2,5310.8,5310.8,8,3624,3624
2019-03-29 09:49:00.000000000,5310.8,5319.8,5309.6,5319.8,7,3624,3623
2019-03-29 09:50:00.000000000,5319.8,5319.8,5317.8,5317.8,5,3623,3619
2019-03-29 09:51:00.000000000,5317.8,5329.6,5317.8,5325.6,10,3619,3614
2019-03-29 09:52:00.000000000,5325.6,5325.6,5319.0,5319.0,5,3614,3615
